tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0054283,The Secret of the Purple Reef,The Secret of the Purple Reef,1960,81,"Crime,Drama",4.4,154
tt29372726,Common Creed: Trafficking,Common Creed: Trafficking,2024,106,"Action,Crime,Drama",7.3,16
tt0380538,Killing Cabos,Matando Cabos,2004,94,"Action,Adventure,Comedy",7.4,6139
tt7787354,Raduga semi nadezhd,Raduga semi nadezhd,1982,66,Fantasy,6.0,6
tt11142578,The Burnt Matches,Kebrite Sookhte,2017,101,Drama,4.7,37
tt0347088,Gnev,Gnev,1974,85,Drama,5.3,25
tt31067218,Seytan1,Seytan1,2024,\N,Horror,4.9,8
tt0102072,The Human Shield,The Human Shield,1991,88,"Action,Drama,War",4.5,575
tt0425362,Prabhaat,Prabhat,1973,120,Drama,7.0,12
tt7827658,Back to the Good Times,Hua jia da ren zhuan nan hai,2018,119,"Comedy,Drama",5.5,226
tt0183551,Girls in the Night Traffic,Mädchen im Nachtverkehr,1976,69,"Adult,Comedy",4.4,233
tt4642192,The Keeper,Trautmann,2018,120,"Biography,Drama,Romance",7.3,7399
tt0290767,El-Milyunair el-Muzayyaf,El-Milyunair el-Muzayyaf,1968,130,"Comedy,Sci-Fi",6.2,36
tt0032943,Pride and Prejudice,Pride and Prejudice,1940,118,"Comedy,Drama,Romance",7.3,9793
tt11755740,Texas Chainsaw Massacre,Texas Chainsaw Massacre,2022,81,"Crime,Horror,Thriller",4.7,67656
tt0118623,Anna Karenina,Anna Karenina,1997,108,"Drama,Romance",6.3,6378
tt6982636,Oh Crappy Day,Oh Crappy Day,2021,83,"Comedy,Romance",5.6,88
tt0923771,Leaf,Leaf,2008,\N,"Biography,Drama,Sport",6.2,39
tt7521358,A Wake,A Wake,2019,97,Drama,5.9,354
tt6875152,Shapeshifters,Shapeshifters,2017,85,Documentary,6.1,30
tt4694464,3 Young Millionaires,3 Young Millionaires,2015,90,"Comedy,Thriller",6.0,8
tt35254606,Walk the Line,Walk the Line,2024,71,Documentary,7.8,17
tt1515207,Sus,Sus,2010,91,Drama,6.1,440
tt27490099,Beating Hearts,L'amour ouf,2024,166,"Crime,Drama,Romance",7.0,6933
tt4024536,A Napoli non piove mai,A Napoli non piove mai,2015,\N,Comedy,4.8,145
tt1609790,Cornelis,Cornelis,2010,101,"Biography,Drama,Music",6.3,2828
tt0231370,Clowns,Clowns,2000,\N,Drama,6.7,20
tt0140136,Helen Bedd,Helen Bedd,1973,57,"Adult,Comedy",5.7,22
tt3916762,Rabhasa,Rabhasa,2014,153,"Action,Comedy",4.8,2233
tt0087835,"Oh, God! You Devil","Oh, God! You Devil",1984,97,"Comedy,Fantasy",5.4,2963
tt30784227,Duexcento,Duexcento,2024,50,Documentary,8.1,8
tt2740630,Anatomy of a Liar,Anatomy of a Liar,2012,47,Documentary,7.1,85
tt8365570,Poor Europe,Poor Europe,2017,52,Documentary,6.8,13
tt0174676,Gang Busters,Gang Busters,1955,74,"Crime,Drama",5.6,188
tt0051220,The Revenge,Zemsta,1957,93,"Comedy,Romance",6.1,49
tt3223174,GGG: One Night Stab,GGG: One Night Stab,2013,60,"Comedy,Horror",8.1,36
tt0340321,Room 36,Room 36,2005,89,"Comedy,Horror,Thriller",7.0,78
tt0414619,The Best Bet,Tu ran fa cai,2004,115,"Comedy,Drama",6.3,129
tt11724502,Look at Me,Look at Me,2024,87,"Comedy,Drama",5.9,17
